	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	STAGATE_config_default_label	SCAN-IT_config_default_label	scanpy_config_default_label	bass_config_default_label	CellCharter_config_default_label
spinalcord_3509	4120.47397260274	6070.052054794521	12.7835616438356	STARmap_plus	spinalcord	7	7	3	3	0.944203164283168	6	2	6	6	4	6
spinalcord_3510	5394.67567567568	6781.9459459459495	19.3513513513514	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3511	4195.05727923628	6508.825775656321	9.67780429594272	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3512	5394.55905511811	6744.26771653543	16.740157480315002	STARmap_plus	spinalcord	7	6	0	4	1.2475491601766	1	6	2	0	6	2
spinalcord_3513	5003.450184501839	6552.05904059041	18.110701107011103	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3514	4166.252136752139	6717.773504273499	17.0	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3515	4973.9801980198	5949.68316831683	4.55445544554455	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3516	5017.3410852713205	5469.47286821705	22.348837209302303	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3517	4169.34117647059	5672.29411764706	17.5411764705882	STARmap_plus	spinalcord	7	6	3	1	1.22150795045872	3	2	1	0	7	6
spinalcord_3518	4284.13953488372	6698.6976744186	13.1627906976744	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3519	5264.213872832371	6229.479768786129	8.48554913294798	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3520	5225.33405639913	6331.054229934921	12.587852494577	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3521	4502.24705882353	5933.282352941179	9.70588235294118	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3522	4608.777777777779	6554.13611111111	15.8777777777778	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3523	4350.18909090909	5873.19636363636	12.2836363636364	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3524	5107.21686746988	6700.51807228916	11.9518072289157	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3525	4612.527363184079	6097.84577114428	14.184079601989998	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3526	4849.21867321867	6146.2457002457	11.0737100737101	STARmap_plus	spinalcord	7	6	0	4	1.53074309813497	6	6	1	0	6	6
spinalcord_3527	4372.37543859649	6548.694736842111	14.259649122807	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3528	4495.35545023697	6207.630331753549	18.345971563981	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3529	4429.8908045977005	6191.05747126437	17.6666666666667	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
