	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	SEDR_config_default_label	BANKSY_config_default_label	SpaceFlow_config_default_label	precast_config_default_label	CellCharter_config_default_label	seurat_config_default_label
1019171907102770050	7322.644795287809	-5037.823451675217	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.67623493913473	5	2	1	16	2	16
1019171907102990264	7576.667487107166	-5718.957869321971	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907101820531	3782.945891097781	-6217.6403894086025	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907102040164-1	3893.572587108657	-6269.903568266459	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907101600248	3216.6575689574506	-5540.47087516556	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	10	7	5	1.69247744026563	12	5	7	13	8	9
1019171907102780096	7680.8434496087475	-4795.222152394154	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.56071040904141	13	4	2	8	1	7
1019171907102770229	7418.250071373132	-5163.073464273895	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	10	7	5	1.69247744026563	12	5	7	13	8	9
1019171907101610104	3606.8064504172416	-5120.661224837273	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	10	7	5	1.69247744026563	12	5	7	13	8	9
1019171907101400299	3688.43784698508	-4626.976686432845	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.59921858573918	13	4	2	8	1	15
1019171907101610105-1	3374.8888811522284	-5290.591124763114	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	10	7	5	1.69247744026563	12	5	7	13	8	9
1019171907102070157	4931.329811795449	-5345.857194110579	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102300512	5893.744150096913	-5419.358299377453	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.60775945153052	9	6	6	1	9	3
