	x	y	data	sample	cluster_number	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	SCAN-IT_config_default_label	SpaceFlow_config_default_label	DRSC_config_default_label	SCAN-IT_config_seqFISH_mouse_SScortex_label	stardust_config_default_label
FN4_D1_batch2_162_266	395	89	stereoseq_liver	FN4_D1_batch2	9	1	1.48369405564586	5	1	0	3	4	0
FN4_D1_batch2_206_272	439	95	stereoseq_liver	FN4_D1_batch2	9	5	1.48495290132354	1	0	4	4	0	3
FN4_D1_batch2_230_275	463	98	stereoseq_liver	FN4_D1_batch2	9	6	1.39298226204197	5	8	1	2	4	6
FN4_D1_batch2_173_183	406	6	stereoseq_liver	FN4_D1_batch2	9	5	1.49181530621131	3	0	3	1	1	2
FN4_D1_batch2_223_196	456	19	stereoseq_liver	FN4_D1_batch2	9	8	1.3459764171849	6	2	4	1	0	2
FN4_D1_batch2_221_267	454	90	stereoseq_liver	FN4_D1_batch2	9	5	1.49397212147517	1	0	4	1	0	3
FN4_D1_batch2_136_112	369	-65	stereoseq_liver	FN4_D1_batch2	9	6	1.54617573838128	4	7	1	2	4	5
FN4_D1_batch2_202_153	435	-24	stereoseq_liver	FN4_D1_batch2	9	6	1.5080871769094	7	7	1	2	4	5
FN4_D1_batch2_220_230	453	53	stereoseq_liver	FN4_D1_batch2	9	3	1.52220223234363	4	1	0	7	2	0
FN4_D1_batch2_149_230	382	53	stereoseq_liver	FN4_D1_batch2	9	7	1.54659535360717	9	1	0	3	1	0
FN4_D1_batch2_232_193	465	16	stereoseq_liver	FN4_D1_batch2	9	8	1.35877388780706	6	8	4	1	0	2
FN4_D1_batch2_224_158	457	-19	stereoseq_liver	FN4_D1_batch2	9	8	1.38411089260836	2	2	4	1	5	2
FN4_D1_batch2_238_154	471	-23	stereoseq_liver	FN4_D1_batch2	9	9	1.33993941468407	6	6	6	6	3	2
FN4_D1_batch2_165_96	398	-81	stereoseq_liver	FN4_D1_batch2	9	8	1.54617573838128	2	3	6	6	7	1
FN4_D1_batch2_194_83	427	-94	stereoseq_liver	FN4_D1_batch2	9	2	1.5556145737588	8	5	6	1	3	4
FN4_D1_batch2_168_193	401	16	stereoseq_liver	FN4_D1_batch2	9	3	1.4546247143256	3	1	0	7	2	6
FN4_D1_batch2_207_96	440	-81	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_119_128	352	-49	stereoseq_liver	FN4_D1_batch2	9	5	1.39176661399634	6	8	3	1	3	4
FN4_D1_batch2_234_200	467	23	stereoseq_liver	FN4_D1_batch2	9	1	1.30531142522327	6	8	5	1	3	2
FN4_D1_batch2_159_142	392	-35	stereoseq_liver	FN4_D1_batch2	9	4	1.41653615285372	3	4	3	6	5	1
